student_id,age,year_of_study,department,attendance_percentage,cgpa_previous_sem,daily_study_hours,weekly_study_hours,study_sessions_per_week,assignment_submission_rate,late_submission_count,revision_frequency_per_week,lms_login_frequency_per_week,lms_time_spent_hours_per_week,video_lectures_watched_per_week,video_completion_rate,practice_quiz_attempts,discussion_forum_posts,resource_diversity_score,class_participation_score,search_skill_score,source_evaluation_score,information_filtering_score,quiz_average_score,midterm_score,assignment_average_score,motivation_level,stress_level,procrastination_score,time_management_score,learning_outcome
STU01031,20,1,Business,60.9,3.5,4.6,28.5,5,74.7,2,5,3,3.8,4,42.4,6,3,5.6,49.4,66.7,57.9,60.4,45.3,56.7,55.6,2,2,1,8,Good
STU01032,20,1,Business,58.4,2.43,4.6,28.0,6,72.0,2,6,5,2.3,6,57.6,5,2,5.6,39.7,32.7,37.9,42.6,32.8,29.3,58.9,3,2,1,8,Good
STU01033,21,1,Physics,56.2,3.11,6.0,34.9,6,65.6,3,6,7,6.2,6,50.9,7,3,6.6,57.5,43.5,35.9,69.4,43.4,40.0,57.5,4,3,3,7,Good
STU01034,19,1,Mechanical,40.0,3.08,2.5,16.7,6,50.6,5,3,2,1.0,2,24.3,4,1,3.2,36.1,79.7,71.8,80.5,46.5,50.6,40.8,2,4,5,4,Average
STU01035,19,2,Mathematics,40.0,2.39,2.7,17.1,5,56.4,4,4,3,1.5,2,36.9,4,1,4.1,35.5,46.0,48.0,55.9,38.5,46.8,47.1,2,1,5,6,Average
STU01036,18,3,Business,49.4,2.56,4.2,27.0,5,61.4,2,5,5,4.1,5,47.9,8,5,5.3,46.8,46.1,42.1,37.8,37.5,44.8,57.4,3,3,3,7,Average
STU01037,19,3,Mechanical,57.5,2.71,6.3,38.6,5,69.1,4,5,7,5.8,4,61.0,6,3,6.3,62.2,55.9,40.2,49.7,42.5,40.4,55.2,4,2,3,7,Good
STU01038,21,4,Civil,76.4,3.65,6.2,37.1,5,51.2,7,4,8,8.7,8,77.7,9,7,7.1,86.2,52.1,81.1,65.5,70.5,59.3,47.1,5,4,6,3,Excellent
STU01039,18,4,Mathematics,46.0,3.16,4.6,26.1,5,44.2,6,4,7,5.6,4,55.7,7,3,4.8,54.9,81.5,59.0,54.8,47.7,55.2,48.4,3,3,6,5,Average
STU01040,18,2,Electronics,40.0,1.36,1.7,9.8,6,30.0,6,2,4,5.6,4,26.8,3,4,2.1,33.0,55.0,30.0,43.3,25.2,20.0,20.2,2,4,8,4,Poor
STU01041,19,2,Physics,40.0,2.61,1.7,10.9,6,30.7,6,2,3,1.8,1,29.0,2,1,3.3,39.1,59.6,62.3,60.8,39.4,37.7,32.0,2,2,6,3,Average
STU01042,19,1,Business,52.8,3.32,4.1,23.8,5,57.9,6,5,5,2.9,5,43.6,3,4,4.4,51.0,51.3,58.8,91.9,53.9,61.1,53.1,2,4,4,4,Good
STU01043,19,1,Computer Science,80.5,3.13,5.9,36.6,5,85.9,3,7,10,7.1,6,88.8,9,4,8.4,65.7,38.8,37.8,45.8,48.8,58.3,67.3,4,2,4,7,Good
STU01044,21,1,Business,43.1,3.42,2.7,17.8,5,70.8,3,5,4,3.8,3,34.0,2,3,4.0,44.5,86.0,75.6,75.2,53.7,51.7,61.1,2,3,3,8,Average
STU01045,22,3,Electronics,40.0,3.14,3.6,23.0,5,38.2,9,2,6,7.9,4,41.7,4,2,3.9,52.7,65.3,73.2,78.6,51.4,53.7,33.2,2,2,8,2,Average
STU01046,20,2,Computer Science,49.6,2.99,3.6,21.8,5,37.8,5,3,6,4.6,5,60.7,6,2,4.9,64.8,56.8,75.6,58.9,54.2,56.9,43.2,4,4,6,3,Average
STU01047,18,2,Mechanical,47.8,2.32,4.1,23.9,6,61.5,6,3,5,3.9,2,44.2,6,2,4.6,40.8,55.0,58.4,33.6,40.9,37.8,51.0,3,1,4,6,Average
STU01048,18,4,Physics,63.3,4.0,5.4,33.0,5,65.0,5,5,8,9.3,7,57.6,7,3,6.4,64.3,54.3,53.6,58.9,67.6,69.2,59.0,4,1,6,5,Excellent
STU01049,22,2,Business,58.2,3.45,5.5,32.7,5,50.4,6,4,7,3.9,5,48.9,7,5,5.4,70.4,63.1,73.0,69.4,64.6,59.3,45.6,4,2,8,3,Good
STU01050,21,2,Civil,40.0,2.76,2.7,16.5,5,38.0,5,2,3,1.1,2,34.6,4,1,3.2,31.8,66.0,59.3,57.0,40.3,37.8,38.4,2,2,5,5,Average
STU01051,18,1,Physics,54.7,3.28,3.6,22.2,5,41.6,6,3,8,4.7,6,50.8,7,3,5.2,61.2,78.6,65.1,71.2,57.1,61.5,45.9,4,4,7,3,Average
STU01052,18,1,Electronics,47.0,2.88,5.0,29.5,6,41.7,9,3,8,5.0,7,50.2,5,3,4.9,69.3,71.2,44.5,29.9,44.6,34.6,36.4,3,5,8,3,Average
STU01053,22,4,Mechanical,44.2,3.89,3.8,23.4,6,64.8,5,4,6,4.5,4,48.8,5,2,5.4,45.6,70.6,62.6,74.1,57.1,55.4,54.4,3,2,4,6,Good
STU01054,23,2,Business,47.2,2.06,3.4,20.9,5,58.3,4,3,4,1.0,3,25.3,5,1,3.7,28.4,38.5,44.0,18.2,30.0,20.0,33.9,3,2,5,5,Poor
STU01055,18,1,Computer Science,77.6,3.85,6.3,36.5,5,73.5,3,7,8,3.8,7,78.8,7,5,7.8,79.5,63.8,64.7,73.9,65.5,79.5,75.1,4,2,3,7,Excellent
STU01056,21,2,Electronics,46.4,3.25,3.8,23.2,5,65.9,5,5,4,4.0,5,36.5,3,1,5.1,37.4,67.7,51.7,65.2,48.4,61.8,61.8,2,1,2,6,Good
STU01057,18,4,Civil,40.0,2.63,3.9,20.6,5,40.6,5,3,6,5.3,3,35.9,5,3,3.6,46.9,47.0,44.9,50.6,42.5,35.2,37.5,3,2,6,4,Poor
STU01058,21,1,Mechanical,66.7,3.58,5.3,33.8,5,57.3,6,4,7,6.9,6,68.0,7,5,5.6,63.8,90.0,68.4,73.5,56.7,59.6,52.8,4,4,5,5,Good
STU01059,18,1,Mechanical,77.1,3.83,6.5,39.7,6,80.0,1,6,9,9.2,5,74.4,10,4,7.0,77.4,75.8,60.7,66.9,56.4,64.1,77.7,5,3,2,7,Excellent
STU01060,21,1,Mechanical,62.0,3.55,5.2,30.9,6,42.0,9,3,10,4.7,6,62.4,9,3,5.6,72.4,70.7,69.7,67.3,73.1,60.5,44.6,4,3,8,3,Good
STU01061,18,3,Electronics,48.5,2.95,1.8,10.4,5,30.0,7,2,5,3.9,4,40.9,4,1,2.2,42.9,80.1,71.7,66.0,48.5,40.0,28.9,2,4,8,2,Average
STU01062,21,1,Business,72.5,3.83,4.4,27.3,5,45.8,7,3,11,12.5,8,62.5,6,4,5.3,71.5,82.8,64.6,56.5,69.0,66.7,45.3,4,1,8,2,Good
STU01063,21,4,Physics,55.1,2.57,4.1,24.1,4,46.5,4,4,5,1.8,5,54.1,6,2,5.9,53.8,34.9,43.1,42.2,42.3,27.1,54.4,4,3,5,5,Average
STU01064,20,4,Civil,41.2,3.2,3.9,22.6,5,56.9,5,5,7,8.3,5,59.9,4,3,5.8,53.0,65.8,54.3,43.0,54.6,48.0,55.1,4,2,5,5,Good
STU01065,20,4,Electronics,51.7,2.88,4.7,27.9,6,68.0,5,6,5,3.8,5,59.1,3,4,5.0,48.0,60.2,42.5,58.9,36.7,48.4,46.4,3,2,3,6,Good
STU01066,21,3,Mathematics,70.2,3.82,5.6,31.5,4,68.7,2,6,10,9.0,9,74.3,9,4,7.1,69.8,58.6,51.0,53.0,56.5,74.5,71.7,4,1,3,7,Good
STU01067,19,1,Business,41.0,3.27,3.1,17.3,5,65.7,5,4,2,0.9,0,47.3,3,3,4.9,33.2,69.0,55.3,69.2,43.2,45.0,57.1,2,4,3,8,Average
STU01068,18,1,Mechanical,49.8,3.47,5.1,30.5,5,59.6,2,6,3,1.1,2,45.3,4,2,5.3,44.0,74.1,67.6,54.2,50.4,64.1,54.5,3,2,2,8,Good
STU01069,18,3,Computer Science,71.5,4.0,6.1,37.7,6,73.1,5,6,9,10.4,7,65.3,8,3,6.7,76.2,69.8,65.0,59.8,64.0,72.3,64.6,4,2,4,5,Excellent
STU01070,19,3,Mathematics,73.5,4.0,5.6,33.0,5,80.9,2,7,7,8.0,6,68.3,7,3,6.3,74.3,84.1,86.8,88.7,64.2,72.2,81.3,4,3,2,9,Excellent
STU01071,19,2,Physics,84.4,3.76,7.1,44.0,6,87.7,4,7,9,5.8,7,80.1,11,6,7.9,65.3,42.4,55.6,47.8,56.0,47.2,72.3,4,4,4,7,Good
STU01072,22,4,Electronics,70.0,3.97,6.3,36.1,5,69.3,3,5,6,6.7,6,72.1,6,3,6.4,69.8,72.1,61.7,64.3,64.2,50.7,65.4,3,2,4,6,Good
STU01073,18,3,Civil,51.0,2.77,3.7,23.6,5,55.0,6,3,5,2.4,3,40.2,5,4,5.4,47.6,63.3,63.1,52.8,44.9,41.6,46.4,3,4,6,4,Average
STU01074,20,1,Mechanical,79.1,4.0,7.1,42.0,5,74.2,3,6,7,3.1,5,64.2,8,5,7.1,62.3,73.7,75.6,73.6,66.2,70.7,66.1,5,5,3,6,Excellent
STU01075,19,1,Business,51.5,2.75,4.4,26.3,5,37.6,8,2,7,4.2,9,53.9,7,3,4.5,68.7,64.2,55.4,37.5,47.7,38.5,34.6,4,4,8,2,Average
STU01076,20,3,Physics,42.4,2.87,3.1,18.6,5,37.3,5,3,4,2.2,4,43.5,4,1,4.3,47.0,46.1,45.5,60.2,47.1,49.5,47.2,3,2,5,5,Good
STU01077,21,1,Computer Science,48.9,2.78,5.1,31.3,7,61.0,6,3,6,2.9,6,45.6,6,3,5.2,57.3,54.2,56.7,62.2,51.9,47.1,54.5,3,5,4,5,Good
STU01078,19,4,Electronics,45.6,3.48,4.4,26.9,5,55.4,3,4,5,2.4,3,42.5,4,1,4.8,40.9,91.8,72.5,69.0,52.7,60.2,58.5,2,3,3,6,Excellent
STU01079,18,1,Business,71.3,2.5,6.2,39.9,6,61.4,5,5,7,3.1,6,72.8,7,3,7.6,68.7,39.6,45.2,15.0,44.5,46.2,58.2,4,3,5,6,Good
STU01080,22,2,Mechanical,75.6,3.79,6.6,40.6,6,75.8,4,5,10,5.2,8,73.6,10,4,7.5,82.6,55.6,64.3,65.3,66.7,68.8,63.2,4,2,5,6,Excellent
STU01081,18,4,Electronics,72.1,4.0,7.2,43.3,6,81.6,6,6,9,9.7,7,82.6,9,4,7.1,91.0,82.6,86.1,74.3,70.0,75.4,74.2,5,3,3,8,Excellent
STU01082,20,2,Computer Science,40.0,3.18,1.9,11.9,6,30.0,8,2,2,1.7,5,23.1,4,2,1.6,47.5,92.8,67.6,47.6,58.7,56.5,26.0,3,2,8,2,Good
STU01083,23,1,Civil,61.4,2.88,5.2,31.3,5,66.9,5,6,8,7.5,5,61.1,8,4,6.9,61.7,45.3,45.8,56.3,46.2,53.9,53.5,3,2,3,5,Good
STU01084,19,1,Civil,63.8,2.81,5.9,35.8,5,49.7,6,5,9,5.8,6,73.7,9,4,6.5,73.0,39.5,40.9,16.0,43.9,47.7,47.7,5,4,7,3,Average
STU01085,18,3,Electronics,40.0,1.9,3.3,20.7,6,50.8,5,3,6,3.8,4,40.2,4,2,4.7,31.6,54.0,29.2,36.2,26.9,23.5,37.8,4,3,6,5,Poor
STU01086,19,1,Computer Science,55.6,3.38,5.1,29.8,5,52.4,7,4,6,5.7,6,59.6,7,5,5.3,71.2,62.1,53.0,52.1,57.2,61.8,43.8,5,1,6,3,Good
STU01087,18,2,Computer Science,53.2,2.99,3.2,19.3,5,52.1,3,5,4,4.0,3,41.0,5,1,3.5,40.4,59.0,45.9,66.9,43.1,40.6,40.8,3,2,5,6,Average
STU01088,22,1,Computer Science,54.7,3.45,5.8,34.8,5,47.8,8,4,6,4.5,6,56.4,6,4,4.7,59.8,63.4,70.7,57.2,47.7,47.7,38.4,3,3,6,4,Good
STU01089,19,4,Electronics,40.0,2.79,3.3,19.3,5,32.3,8,1,6,3.1,6,43.4,5,5,4.0,52.9,63.4,55.2,47.9,47.2,46.8,28.9,3,4,7,3,Average
STU01090,19,3,Computer Science,58.3,2.9,4.0,23.0,5,52.5,4,5,5,3.7,5,51.9,7,5,5.2,49.7,72.6,49.5,39.9,57.9,45.5,49.8,4,2,4,6,Good
STU01091,18,1,Electronics,55.5,2.6,5.4,34.5,7,70.7,3,5,7,3.6,8,76.4,7,5,6.4,51.7,58.5,41.7,40.0,40.9,46.0,57.5,3,3,4,6,Good
STU01092,21,1,Business,55.6,3.5,4.6,30.1,6,53.5,4,4,5,3.1,3,50.9,6,3,5.4,61.1,83.8,71.7,77.8,55.4,56.9,50.3,4,3,5,5,Good
STU01093,19,2,Electronics,56.2,2.21,5.4,32.1,5,52.2,6,4,7,7.7,6,61.7,7,3,5.9,59.2,37.5,37.2,27.3,38.3,39.8,36.5,4,2,6,4,Average
STU01094,19,2,Computer Science,65.3,2.1,3.8,23.5,5,50.0,4,5,7,7.3,7,59.6,6,3,4.2,47.8,32.2,29.9,36.2,35.7,36.0,42.2,4,2,6,5,Average
STU01095,19,2,Civil,40.0,2.27,2.1,14.1,5,35.9,4,3,1,0.6,1,25.5,3,1,2.4,28.5,68.5,48.9,54.6,44.6,30.3,38.0,2,4,6,5,Average
STU01096,23,2,Civil,50.9,3.67,2.8,17.5,5,42.3,7,3,5,2.4,6,50.7,6,4,4.2,58.5,83.3,63.7,69.3,61.5,64.2,34.9,4,2,8,2,Average
STU01097,18,2,Mathematics,59.9,3.02,4.9,27.8,5,45.1,7,3,10,6.4,6,46.0,8,4,6.1,72.0,59.0,56.4,43.2,62.3,50.3,38.4,4,3,8,2,Average
STU01098,22,1,Civil,53.7,3.11,4.4,26.4,5,38.5,8,4,8,6.8,6,55.0,5,6,4.7,63.5,71.5,54.7,53.8,51.1,53.0,41.6,3,4,7,2,Average
STU01099,20,2,Business,69.8,2.66,5.5,33.3,5,63.0,5,5,5,1.8,6,63.8,7,3,5.3,65.4,54.2,37.3,36.6,40.2,50.0,44.8,4,3,6,3,Average
STU01100,20,1,Computer Science,72.7,2.94,5.4,32.7,4,68.8,6,5,6,4.6,7,68.6,7,4,6.6,66.1,36.5,42.6,23.2,44.4,40.8,50.6,3,2,5,6,Average
STU01101,19,3,Civil,40.0,3.09,2.9,16.7,5,38.3,7,2,4,5.4,4,48.8,4,2,4.7,56.7,53.6,62.3,45.6,46.9,44.4,33.6,3,3,7,3,Average
STU01102,19,2,Mechanical,53.5,2.92,4.7,27.9,6,61.7,5,5,7,5.5,4,49.6,6,3,5.3,57.7,69.4,50.6,51.8,44.1,57.8,55.9,4,3,4,5,Good
STU01103,20,2,Business,40.0,3.39,4.6,28.6,4,49.5,5,4,5,5.0,4,45.4,5,3,5.1,53.6,88.9,62.3,78.2,51.7,53.0,52.4,3,2,6,6,Good
STU01104,19,4,Mechanical,76.0,4.0,6.8,37.6,4,91.4,0,7,6,2.8,5,64.7,8,4,7.4,64.1,81.4,74.0,77.1,63.0,72.9,90.5,4,2,1,8,Excellent
STU01105,20,1,Civil,40.7,2.68,4.2,26.0,5,31.8,8,3,7,7.0,5,51.4,7,2,3.9,57.0,78.2,57.3,36.4,42.5,37.4,36.9,5,5,8,2,Poor
STU01106,20,1,Electronics,75.6,3.85,5.6,33.7,5,72.3,3,6,8,5.5,7,77.8,7,3,8.0,65.3,58.4,47.8,71.0,60.8,47.2,64.9,4,2,3,7,Excellent
STU01107,18,1,Computer Science,49.6,2.33,4.2,24.8,5,46.6,5,4,6,5.6,3,44.0,6,5,4.7,49.5,62.3,43.4,36.7,41.8,36.3,38.1,3,3,4,4,Average
STU01108,20,3,Physics,43.3,2.58,5.3,30.0,5,64.2,7,5,7,7.6,6,54.2,5,3,4.6,56.2,33.0,48.5,41.7,35.4,43.7,44.5,3,2,7,4,Poor
STU01109,18,4,Business,48.5,2.95,3.8,21.7,5,52.1,7,3,6,3.0,4,53.7,5,3,4.9,53.1,73.1,72.6,68.2,46.0,47.1,39.6,3,4,6,4,Average
STU01110,20,3,Business,70.4,2.92,6.9,42.0,5,72.8,5,6,10,5.4,6,74.3,9,4,7.3,72.7,57.7,50.2,49.7,51.5,48.4,61.0,4,2,4,6,Good
STU01111,21,4,Civil,80.1,3.89,7.5,42.9,5,82.9,2,7,9,4.3,7,85.5,9,5,8.7,82.2,53.6,60.2,68.9,61.2,55.7,78.0,4,4,2,7,Excellent
STU01112,18,1,Computer Science,40.0,2.48,2.9,19.2,7,41.8,5,3,3,3.9,3,31.9,3,1,2.1,39.4,81.6,62.5,69.9,45.2,49.9,41.0,2,3,5,4,Average
STU01113,20,2,Mechanical,52.5,1.67,3.5,19.1,5,66.2,3,4,4,4.0,2,40.4,4,1,4.7,35.6,40.8,30.2,24.2,20.0,25.0,44.2,3,1,6,5,Poor
STU01114,18,1,Physics,40.0,1.0,2.2,13.0,5,30.0,9,0,4,2.9,3,32.1,0,3,2.6,29.2,47.0,15.0,19.9,24.8,20.0,20.0,2,4,10,1,Poor
STU01115,21,3,Mechanical,40.0,1.51,2.7,16.9,5,57.4,3,4,2,1.4,0,38.5,2,1,3.0,15.8,30.3,15.0,26.5,20.0,20.0,37.3,1,3,2,6,Poor
STU01116,19,3,Computer Science,64.9,4.0,6.6,42.3,5,57.9,6,5,8,6.5,6,69.9,8,5,7.4,71.5,67.9,75.0,52.1,66.8,72.2,70.4,5,2,4,5,Good
STU01117,19,4,Computer Science,63.7,3.01,5.4,33.3,6,49.4,6,5,8,8.6,8,68.0,8,4,5.1,58.9,50.1,52.0,28.2,49.5,49.3,46.4,4,1,7,3,Average
STU01118,21,2,Physics,75.6,3.37,5.7,33.2,5,79.7,2,6,6,3.7,6,63.3,7,3,8.1,65.3,58.5,49.9,45.8,45.2,61.3,73.3,4,2,2,7,Excellent
STU01119,24,1,Physics,51.1,2.58,5.4,33.2,5,45.3,9,3,7,4.2,8,55.8,8,3,5.8,55.6,39.7,40.8,40.7,43.5,37.7,37.0,4,3,7,4,Average
STU01120,22,2,Mechanical,57.4,4.0,6.5,38.2,4,70.3,4,5,8,4.3,7,50.7,7,3,6.5,65.4,81.5,68.4,75.1,68.9,61.0,68.5,4,4,3,7,Excellent
STU01121,21,4,Computer Science,70.4,2.85,6.6,39.2,5,61.4,4,6,10,4.6,6,80.9,8,5,7.1,71.8,55.9,55.5,32.5,51.0,49.9,66.3,4,3,4,7,Excellent
STU01122,19,4,Mechanical,40.0,3.28,2.4,14.4,5,30.0,11,1,4,2.1,5,40.3,5,3,3.6,47.7,77.4,65.5,57.4,61.6,51.6,32.2,3,1,9,2,Average
STU01123,22,1,Mathematics,40.1,3.27,3.5,21.7,4,56.0,8,3,2,1.9,2,42.3,4,2,4.1,38.9,76.1,51.5,76.4,44.9,52.6,40.7,2,1,5,6,Good
STU01124,20,1,Physics,60.7,3.48,4.3,27.0,5,66.8,4,5,7,5.8,6,64.8,6,3,6.1,69.9,78.8,57.2,52.8,60.2,54.3,59.0,4,3,3,4,Good
STU01125,19,2,Mechanical,64.2,2.03,4.8,30.6,6,67.9,2,6,4,4.1,3,63.1,5,2,6.5,38.5,22.3,25.9,49.0,26.9,32.2,58.0,4,3,2,7,Average
STU01126,18,4,Electronics,40.0,2.49,3.3,19.1,5,42.2,4,3,1,1.6,3,39.9,4,3,3.5,43.5,65.3,43.0,48.8,43.2,55.6,43.5,3,2,5,5,Average
STU01127,18,4,Business,50.0,3.66,4.6,27.5,4,72.1,3,6,6,4.5,5,38.3,6,2,5.4,49.9,70.2,62.0,81.2,56.9,63.0,72.8,3,4,3,7,Good
STU01128,18,4,Computer Science,56.6,3.86,4.6,28.6,6,46.5,6,3,8,9.3,6,61.8,5,3,5.4,71.7,80.7,77.6,65.1,59.5,64.6,51.2,4,2,6,4,Excellent
STU01129,18,1,Physics,75.8,3.78,7.9,46.7,5,72.9,4,7,10,8.7,10,79.8,9,5,7.3,78.5,70.6,68.7,53.5,66.4,67.4,67.7,5,4,4,6,Excellent
STU01130,18,1,Business,41.1,3.25,3.2,20.6,6,35.7,7,3,6,4.1,3,36.1,6,2,3.9,51.2,82.3,64.6,71.5,60.4,48.6,34.6,3,3,8,3,Good
STU01131,19,3,Computer Science,46.6,3.04,4.6,28.2,5,74.6,3,6,4,2.5,4,51.4,8,3,5.9,44.0,54.2,34.7,53.0,32.8,50.6,58.7,2,4,2,8,Average
STU01132,19,3,Electronics,64.1,3.56,6.9,39.6,5,70.8,3,4,8,5.7,6,69.8,10,3,6.7,77.0,61.8,52.2,71.0,56.5,52.8,65.6,4,4,4,6,Good
STU01133,18,1,Computer Science,40.0,2.3,3.5,21.0,4,43.0,6,3,4,3.7,3,42.6,6,2,3.3,52.2,53.5,54.7,39.6,33.1,41.9,40.5,3,2,6,4,Poor
STU01134,18,3,Mechanical,40.0,2.28,3.1,17.9,5,70.1,2,5,3,1.9,2,31.7,3,1,4.6,21.6,65.0,44.1,54.6,30.6,42.5,50.8,2,2,3,7,Average
STU01135,18,4,Mechanical,72.5,3.04,6.4,39.2,5,75.7,2,7,6,6.6,7,68.0,10,4,6.1,49.9,48.0,42.9,47.6,45.1,49.0,67.8,5,4,2,6,Good
